Candidate,Item097,Item098,Item100,Item101,Item104,Item105,Item106,Item107,Item108,Item109,Item115,Item116,Item117,Item118,Item119,Item120,Item121,Item122,Item123,Item124,Item125,Item126,Item127,Item128,Item129,Item130,Item131,Item132,Item133,Item134,Item135,Item136,Item137,Item140,Item141,Item142,Item143,Item144,Item157,Item158,Item159,Item160,Item162,Item163,Item164,Item166,Item167,Item168,Item145,Item147,Item148,Item150,Item151,Item152,Item153,Item154,Item155,Item156,Item183,Item184,Item185,Item186,Item187,Item188,Item189,Item190,Item191,Item192
Cand00023,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , ,1,1,1,0,1,0,0,1,1,0, , , , , , , , , , , , , , , , , , , , 
Cand00026,0,0,0,1,1,0,0,1,1,1,1,1, , , , , , , , ,0,1,0,0,0,0,0,1, , , , , , , , , , ,1,1,1,0,1,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00046,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , ,0,0,1,0,1,0,1,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00052,0,1,1,1,1,1,0,1,0,1,1,0, , , , , , , , ,0,1,1,1,1,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cand00079,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , ,0,0,1,0,1,1,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00091,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1, , , , , , , , , , , , , , , , , , ,1,1,0,0,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00092,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,1,1,1,0,1,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , 
Cand00095,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,1,0,0,1,0,1,0, , , , , , , , , , 
Cand00098,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,1,1,1,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , 
Cand00099,0,1,1,1,1,1,0,1,0,0,1,1, , , , , , , , ,0,1,1,0,1,0,1,0, , , , , , , , , , ,1,0,1,0,1,0,0,1,1,0, , , , , , , , , , , , , , , , , , , , 
Cand00110,1,1,1,1,1,1,1,1,0,1,1,1, , , , , , , , ,0,1,1,0,1,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,0,1,0,1,1,0,1
Cand00118,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1, , , , , , , , ,0,1,0,1,1,0,1,1,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cand00128,0,1,0,1,1,1,0,1,0,1,1,1, , , , , , , , ,0,1,1,0,1,0,0,0, , , , , , , , , , ,1,1,0,0,1,1,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00141,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,0,1,0,0,1,0, , , , , , , , , , 
Cand00157,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,0,1,0,0,0,0, , , , , , , , , , 
Cand00166,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,0,1,1,0,1,0,1,0,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00168,0,1,0,1,1,1,0,1,0,0,1,0, , , , , , , , ,0,1,0,0,1,1,0,0, , , , , , , , , , ,0,1,1,0,1,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00178,1,1,1,1,1,1,0,1,0,1,0,0, , , , , , , , ,0,1,0,0,0,0,1,0, , , , , , , , , , ,1,1,1,0,0,1,0,1,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00180,0,0,1,1,1,0,0,1,0,0,1,1, , , , , , , , ,0,1,1,1,0,0,0,0, , , , , , , , , , ,0,1,1,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , 
Cand00181,1,1,1,1,1,0,0,1,0,0,1,1, , , , , , , , ,0,0,1,0,0,0,1,0, , , , , , , , , , ,1,0,1,0,1,0,1,0,0,0, , , , , , , , , , , , , , , , , , , , 
Cand00182,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,1,1,0,0,0,0,0, , , , , , , , , , 
Cand00186,0,1,0,1,1,1,0,1,0,1,1,1, , , , , , , , ,0,0,0,0,1,0,0,0, , , , , , , , , , ,1,1,1,0,1,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00199,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,0,1,1,0,1,0,1,1,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00216,0,1,0,1,1,1,0,1,0,0,1,0, , , , , , , , ,1,1,1,0,0,0,0,0, , , , , , , , , , ,1,1,1,0,0,0,1,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00237,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,0,0,1,1,1,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00246,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1, , , , , , , , , , , , , , , , , , ,0,1,1,0,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00249,0,1,0,1,1,1,1,1,0,0,1,1, , , , , , , , ,0,1,1,0,0,0,1,0, , , , , , , , , , ,1,0,1,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , 
Cand00256,0,1,0,0,1,1,1,1,0,1,1,0, , , , , , , , ,0,1,1,0,0,1,1,0, , , , , , , , , , ,1,1,1,1,1,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00260,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,1,0,0,0,1,1,0, , , , , , , , , , 
Cand00271,0,1,1,1,1,1,0,1,0,0,1,1, , , , , , , , ,1,1,0,0,0,0,0,0, , , , , , , , , , ,0,1,1,0,1,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00280,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,1,1,0,0,0,0, , , , , , , , , , 
Cand00284,0,1,0,0,1,1,1,1,0,0,1,1, , , , , , , , ,1,1,1,0,1,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cand00285,0,1,1,1,1,1,0,1,0,1,1,1, , , , , , , , ,0,1,1,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cand00302,1,1,0,1,1,1,1,1,0,1,1,1, , , , , , , , ,0,1,1,0,1,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,0,0,1,0,0,1
Cand00330,1,1,1,1,1,1,1,1,0,1,1,1, , , , , , , , ,0,1,1,0,1,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,1,0,0,1,1,0,1
Cand00342,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0, , , , , , , , ,0,1,0,1,1,1,0,1,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cand00344,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,1,0,1,1,0,1,1,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00347,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , ,1,0,1,0,1,0,0,1,1,0, , , , , , , , , , , , , , , , , , , , 
Cand00361,0,1,0,1,1,1,0,1,0,1,1,1, , , , , , , , ,0,1,1,0,0,0,1,0, , , , , , , , , , ,1,1,1,0,1,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00372,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , ,1,0,1,0,1,1,0,1,0,0, , , , , , , , , , , , , , , , , , , , 
Cand00389,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,1,1,1,0,0,0, , , , , , , , , , 
Cand00391,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,0,1,1,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , 
Cand00407,1,1,0,1,0,1,1,1,1,1,1,1, , , , , , , , ,0,1,1,0,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,1,1,1,0,1,1,0,1
Cand00422,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1, , , , , , , , , , , , , , , , , , ,1,0,1,1,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00429,0,1,0,1,1,1,0,1,0,0,1,0, , , , , , , , ,0,1,1,0,0,0,0,0, , , , , , , , , , ,0,1,1,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , 
Cand00443,1,1,1,1,1,1,1,1,0,1,1,1, , , , , , , , ,0,1,1,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cand00444,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , ,0,0,0,0,1,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00448,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,1,1,1,1,0,0,0, , , , , , , , , , 
Cand00471,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0, , , , , , , , ,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cand00475,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , ,0,1,1,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , 
Cand00478,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , ,1,1,1,0,1,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00481,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , ,0,1,1,0,1,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00517,0,1,0,1,1,0,1,1,0,1,1,0, , , , , , , , ,0,0,0,0,0,0,1,0, , , , , , , , , , ,1,1,1,1,1,1,0,1,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00544,0,0,1,1,1,1,0,1,0,1,1,1, , , , , , , , ,0,0,1,0,1,1,1,0, , , , , , , , , , ,1,1,1,0,1,1,1,0,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00589,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,0,0,0,0,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00605,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,1,1,0, , , , , , , , , , , , , , , , , , , , 
Cand00609,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , ,1,1,1,1,1,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00618,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , 
Cand00657,1,1,0,1,0,1,0,0,0,1,1,0, , , , , , , , ,0,1,0,0,1,0,1,0, , , , , , , , , , ,0,1,1,0,1,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , 
Cand00668,1,1,1,1,0,1,0,1,0,1,1,1, , , , , , , , ,1,1,1,0,1,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cand00688,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,1,0,1,1,1,0, , , , , , , , , , 
Cand00694,0,1,0,1,1,1,1,1,0,1,1,0, , , , , , , , ,0,1,0,0,0,0,1,0, , , , , , , , , , ,1,1,1,0,1,1,0,0,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00695,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,0,0,0,0,1,0, , , , , , , , , , 
Cand00707,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,1,0,0,0,0,0, , , , , , , , , , 
Cand00715,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1, , , , , , , , ,0,0,1,0,1,1,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cand00722,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00725,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,1,0,1,0,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00735,1,1,1,1,1,1,1,1,0,1,1,1, , , , , , , , ,0,1,1,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cand00737,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1, , , , , , , , , , , , , , , , , , ,1,0,1,0,1,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , 
Cand00754,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,1,1,1,0,1,1,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00762,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , 
Cand00778,1,1,0,1,1,1,0,1,0,1,1,1, , , , , , , , ,0,1,1,0,1,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cand00783,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,1,1,1,0,1,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00789,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,1,0,1,0,1,1,0, , , , , , , , , , 
Cand00799,0,0,0,1,1,1,0,1,0,0,1,1, , , , , , , , ,0,1,0,0,0,0,0,0, , , , , , , , , , ,0,0,1,0,1,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , 
Cand00801,0,1,1,1,0,1,0,0,0,1,1,1, , , , , , , , ,0,1,1,0,0,0,1,0, , , , , , , , , , ,1,0,1,0,0,0,0,0,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00831,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1, , , , , , , , , , , , , , , , , , ,1,0,1,0,1,0,1,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00832,0,1,0,1,1,1,1,1,0,0,1,0, , , , , , , , ,0,0,0,0,0,0,0,0, , , , , , , , , , ,1,1,1,0,1,0,0,1,1,0, , , , , , , , , , , , , , , , , , , , 
Cand00835,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , ,0,1,1,0,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00839,0,1,0,1,1,1,0,1,0,0,1,0, , , , , , , , ,0,0,1,0,0,0,0,0, , , , , , , , , , ,1,1,1,0,0,1,1,0,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00843,1,1,1,1,1,1,1,1,0,1,1,1, , , , , , , , ,0,1,0,0,0,1,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cand00882,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1, , , , , , , , ,0,1,1,0,0,0,1,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cand00883,1,1,0,1,1,1,0,1,0,1,1,0, , , , , , , , ,0,1,1,0,0,0,1,0, , , , , , , , , , ,0,0,0,0,0,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00885,1,1,1,1,1,1,0,1,0,1,1,1, , , , , , , , ,0,1,1,0,0,1,1,0, , , , , , , , , , ,1,1,1,0,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00893,0,1,1,1,0,1,1,1,0,1,1,0, , , , , , , , ,0,1,0,0,0,0,0,0, , , , , , , , , , ,1,1,1,1,1,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00901,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1, , , , , , , , ,0,1,1,0,1,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cand00904,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1, , , , , , , , , , , , , , , , , , ,0,0,1,1,1,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , 
Cand00905,1,0,0,1,1,1,0,1,0,0,1,1, , , , , , , , ,0,1,0,0,1,0,0,0, , , , , , , , , , ,0,1,0,0,1,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , 
Cand00914,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,0,0,1,0,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00930,1,1,1,1,1,1,0,1,1,1,1,1, , , , , , , , ,1,1,1,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cand00944,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,1,0, , , , , , , , , , 
Cand00948,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,0,0,0,1,0,0,0, , , , , , , , , , 
Cand00949,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,0,1,1,0,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00956,0,1,1,1,1,0,0,1,0,0,1,1, , , , , , , , ,0,1,1,0,0,0,0,0, , , , , , , , , , ,1,1,1,0,0,1,0,1,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00968,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,0,1,1,1,0,0, , , , , , , , , , 
Cand00973,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,0,0,1,0,1,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00991,0,1,1,1,1,1,0,0,0,1,1,1, , , , , , , , ,0,1,0,0,1,0,1,0, , , , , , , , , , ,1,1,1,1,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00993,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1, , , , , , , , , , , , , , , , , , ,1,0,1,0,1,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand01008,0,1,0,1,0,1,1,1,0,0,1,0, , , , , , , , ,0,1,1,0,1,0,0,0, , , , , , , , , , ,1,1,1,1,1,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand01013,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,0,0,0,0,0,0, , , , , , , , , , 
Cand01015,1,1,0,1,1,1,0,1,0,0,1,1, , , , , , , , ,0,1,1,0,0,0,1,0, , , , , , , , , , ,1,1,1,0,1,1,0,0,0,1, , , , , , , , , , , , , , , , , , , , 
Cand01021,1,1,1,1,1,1,1,0,0,0,1,0, , , , , , , , ,0,1,1,0,1,0,1,0, , , , , , , , , , ,1,1,1,1,1,1,0,1,1,1, , , , , , , , , , , , , , , , , , , , 
Cand01028,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,0,0,1,0,0,1,0,1,0,0, , , , , , , , , , , , , , , , , , , , 
Cand01031,1,1,0,1,1,1,0,1,0,1,1,1, , , , , , , , ,0,1,0,0,1,0,1,0, , , , , , , , , , ,1,0,1,0,1,1,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand01052,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , ,1,0,1,0,0,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand01078,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,0,0,1,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , 
Cand01096,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,1,0,0,0,1,0, , , , , , , , , , 
Cand01100,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,0,1,0,1,0,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand01104,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1, , , , , , , , ,1,1,1,0,1,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
